04X,Birmingham South Central,405763.684,280794.8715,2.724,0.64,1.368,4.238,7.647,11.657,1.386,1.148,0.267,0.717,1.442,0.767,2.628,6.271,Q54,Birmingham and the Black Country Area Team,3,245582
00Q,Blackburn with Darwen,369214.8289,421917.8553,3.898,0.799,1.661,3.723,7.1,12.212,2.148,1.135,0.237,0.711,1.578,0.845,2.67,7.219,Q47,Lancashire Area Team,8,168236
00R,Blackpool,332340.4483,436221.5758,4.734,1.184,2.183,9.649,6.904,16.601,3.106,1.34,0.276,0.822,2.329,1.116,3.315,6.978,Q47,Lancashire Area Team,9,172550
00T,Bolton,369143.4091,409225.3578,3.501,0.736,1.704,5.72,7.515,14.066,2.169,0.882,0.245,0.724,1.772,0.869,3.337,6.565,Q46,Greater Manchester Area Team,10,295196
10G,Bracknell  Ascot,488636.9528,168411.2363,2.492,0.507,1.302,2.732,5.003,11.288,1.036,0.621,0.152,0.568,1.817,0.668,3.116,5.663,Q69,Thames Valley Area Team,11,137005
02W,Bradford City,416397.3584,433373.2976,2.345,0.481,0.864,2.882,8.867,8.766,1.138,0.912,0.17,0.535,0.641,0.605,1.538,6.28,Q52,West Yorkshire Area Team,6,120184
02R,Bradford Districts,413034.6753,435118.9102,3.577,0.75,1.802,4.554,7.249,13.113,2.333,0.916,0.286,0.706,1.719,0.87,2.824,6.655,Q52,West Yorkshire Area Team,3,332760
07P,Brent,520172.1591,185822.6778,2.201,0.522,1.056,2.357,8.098,12.383,0.765,1.154,0.224,0.537,1.213,0.539,1.979,4.736,Q62,North West London Area Team,4,348013
09D,Brighton  Hove,531470.3516,106676.5609,2.315,0.547,1.27,3.579,4.165,10.024,1.244,1.164,0.261,0.509,1.626,0.706,3.253,5.688,Q68,Surrey and Sussex Area Team,4,300871
11H,Bristol,358373.6257,174383.7315,2.436,0.575,1.551,4.257,4.736,10.907,1.673,0.903,0.349,0.565,1.631,0.774,2.539,5.945,Q65,Bristol North Somerset Somerset and South Gloucestershire Area Team,3,478502
07Q,Bromley,542896.9062,165637.1726,3.066,0.679,1.545,4.15,5.165,13.885,1.319,0.794,0.173,0.657,2.055,0.622,3.072,5.233,Q63,South London Area Team,5,332439
00V,Bury,379391.9629,410188.6985,3.689,0.728,1.854,4.531,6.121,13.593,2.006,1.016,0.17,0.681,1.811,0.883,3.08,6.641,Q46,Greater Manchester Area Team,11,195984
02T,Calderdale,401849.4742,424963.4177,3.9,0.676,1.82,4.55,5.756,13.343,1.906,0.924,0.228,0.699,2.01,1.008,4.23,6.411,Q52,West Yorkshire Area Team,4,212212
06H,Cambridgeshire  Peterborough,534005.0241,276606.8213,2.955,0.631,1.461,3.658,5.495,12.899,1.596,0.761,0.271,0.744,2.054,0.718,3.321,6.465,Q56,East Anglia Area Team,12,876277
07R,Camden,527859.5575,184651.8216,1.637,0.541,0.926,2.175,3.813,8.232,1.051,1.388,0.262,0.406,1.4,0.492,2.48,3.981,Q61,North East London Area Team,11,241944
04Y,Cannock Chase,400115.2444,311054.5538,4.104,0.838,1.884,4.089,6.656,15.758,2.163,0.577,0.185,1.045,2.256,0.96,4.021,5.814,Q60,Shropshire and Staffordshire Area Team,4,132488
09E,Canterbury  Coastal,615303.8417,158048.4923,3.334,0.638,1.858,4.474,5.713,13.451,1.674,0.802,0.288,0.71,2.148,0.819,3.107,5.62,Q67,Kent and Medway Area Team,4,208376
99F,Castle Point  Rochford,587941.2325,190828.2513,3.716,0.788,1.693,3.849,6.404,17.004,2.016,0.593,0.153,0.911,2.11,0.708,4.459,6.064,Q57,Essex Area Team,4,180658
09A,Central London (Westminster),528090.6982,180915.3803,1.986,0.5,1.029,1.573,4.128,8.412,0.927,1.281,0.249,0.386,1.431,0.457,2.184,3.73,Q62,North West London Area Team,6,191438
00W,Central Manchester,385565.3518,395313.2314,2.072,0.426,0.922,1.999,5.643,8.803,1.335,1.141,0.217,0.383,1.024,0.65,1.584,5.431,Q46,Greater Manchester Area Team,8,208789
10H,Chiltern,490519.1944,192741.9465,2.887,0.547,1.62,3.426,5.331,13.043,1.202,0.675,0.216,0.587,2.093,0.641,2.676,5.976,Q69,Thames Valley Area Team,12,328513
00X,Chorley  South Ribble,356829.8564,419232.1007,4.063,0.903,1.807,5.044,6.275,14.108,2.043,0.762,0.151,0.853,2.098,0.838,3.824,6.336,Q47,Lancashire Area Team,0,174760
07T,City  Hackney,534121.0229,184914.4321,1.57,0.576,0.839,1.831,5.394,9.314,0.984,1.348,0.167,0.414,1.07,0.48,1.305,4.384,Q61,North East London Area Team,7,280396
09G,Coastal West Sussex,497464.9693,113599.196,4.299,0.829,2.177,4.486,6.109,15.828,1.809,0.865,0.333,0.766,2.711,0.765,3.963,6.423,Q68,Surrey and Sussex Area Team,11,490990
03V,Corby,488639.2792,289820.9412,3.36,0.749,1.77,4.214,5.764,11.896,2.651,0.788,0.344,0.801,1.827,0.86,3.258,5.827,Q58,Hertfordshire and the South Midlands Area Team,11,70729
05A,Coventry Rugby,442968.3986,277246.1493,2.775,0.693,1.554,3.914,5.948,13.828,1.661,0.864,0.26,0.71,1.68,0.777,2.714,6.139,Q53,Arden Herefordshire and Worcestershire Area Team,5,470967
09H,Crawley,527329.4806,137826.734,2.882,0.606,1.418,4.497,5.893,11.718,1.494,0.674,0.471,0.749,1.59,0.729,4.214,5.795,Q68,Surrey and Sussex Area Team,12,127077
07V,Croydon,533290.9513,163555.7646,2.298,0.441,1.185,3.352,6.385,12.216,1.035,1.054,0.166,0.611,1.548,0.645,3.634,4.878,Q63,South London Area Team,8,382473
01H,Cumbria,342543.1299,521060.2819,4.755,1.059,2.301,5.08,6.081,15.394,2.161,0.909,0.256,0.922,2.379,0.858,4.037,6.639,Q49,Cumbria Northumberland Tyne and Wear Area Team,8,521751
00C,Darlington,429010.8165,517172.6482,4.031,0.919,2.009,4.453,6.684,14.772,2.478,1.001,0.298,0.796,1.906,0.988,3.32,6.056,Q45,Durham Darlington and Tees Area Team,0,105854
09J,Dartford Gravesham Swanley,560199.8065,169038.6059,2.996,0.537,1.552,8.417,6.051,14.762,1.555,0.73,0.233,0.812,1.69,0.773,3.43,5.191,Q67,Kent and Medway Area Team,0,243373
02X,Doncaster,460022.7517,405677.426,4.079,0.916,2.036,6.788,7.189,15.122,2.581,0.746,0.191,0.88,1.826,0.985,3.093,6.825,Q51,South Yorkshire and Bassetlaw Area Team,7,306524
11J,Dorset,378379.6606,100568.4011,4.16,0.874,2.234,5.602,5.824,15.301,1.759,0.901,0.294,0.835,2.718,0.739,3.231,6.518,Q70,Wessex Area Team,4,767540
05C,Dudley,392704.1276,287237.7155,4.119,0.84,1.985,6.099,6.492,17.343,1.781,0.743,0.336,0.974,2.162,0.872,4.036,6.248,Q54,Birmingham and the Black Country Area Team,6,308611
00D,Durham Dales Easington Sedgefield,407512.5624,529468.6128,5.264,0.975,2.259,4.714,7.032,16.638,3.058,0.931,0.231,0.887,2.164,1.017,3.868,6.512,Q45,Durham Darlington and Tees Area Team,1,287699
07W,Ealing,515877.8021,181711.5104,2.475,0.466,0.95,2.468,6.811,11.466,0.813,1.003,0.216,0.528,1.237,0.541,2.805,4.865,Q62,North West London Area Team,9,401422
06K,East  North Hertfordshire,530283.6244,220779.9312,2.967,0.604,1.517,3.604,5.322,13.181,1.482,0.722,0.29,0.694,2.008,0.726,2.885,5.926,Q58,Hertfordshire and the South Midlands Area Team,0,573132
01A,East Lancashire,379119.0307,437983.9343,4.204,0.863,1.92,3.626,6.36,13.765,2.386,0.991,0.212,0.681,2.045,0.906,2.948,7.009,Q47,Lancashire Area Team,2,363685
03W,East Leicestershire & Rutland,475543.5975,306740.3769,3.412,0.818,1.759,4.286,6.251,14.77,1.566,0.664,0.154,0.738,2.276,0.669,3.134,5.988,Q59,Leicestershire and Lincolnshire Area Team,1,320156
02Y,East Riding of Yorkshire,501668.2423,442153.6199,4.801,0.826,2.07,4.953,6.565,16.314,2.089,0.616,0.247,0.92,2.786,0.867,3.842,6.528,Q50,North Yorkshire and Humber Area Team,8,300564
05D,East Staffordshire,412454.5406,327259.7303,3.413,0.803,1.703,3.94,6.274,13.784,1.629,0.574,0.338,0.789,2.214,0.827,3.531,6.084,Q60,Shropshire and Staffordshire Area Team,7,135484
09L,East Surrey,534496.5725,149205.2944,2.921,0.587,1.606,3.979,4.903,12.37,1.365,0.773,0.17,0.738,2.1,0.801,4.428,5.73,Q68,Surrey and Sussex Area Team,1,172876
09F,Eastbourne Hailsham Seaford,558445.065,106006.2555,4.429,0.957,2.555,6.437,5.994,17.555,2.094,1.05,0.44,0.885,2.527,0.792,4.777,6.709,Q68,Surrey and Sussex Area Team,10,182980
01C,Eastern Cheshire,385025.323,374540.9228,3.618,0.805,2.061,4.425,5.74,14.708,1.566,0.784,0.254,0.688,2.255,0.73,3.147,5.981,Q44,Cheshire Warrington and Wirral Area Team,11,203206
07X,Enfield,532424.3485,196427.1029,2.501,0.532,1.214,3.061,6.833,13.327,1.013,0.998,0.302,0.562,1.511,0.617,2.29,4.923,Q61,North East London Area Team,10,299757
03X,Erewash,446582.5915,336226.4353,3.724,0.738,1.988,6.801,6.438,15.798,2.131,0.734,0.176,0.76,2.036,0.973,3.413,6.6,Q55,Derbyshire and Nottinghamshire Area Team,0,96754
10K,Fareham Gosport,455929.4806,104891.3611,3.576,0.667,1.806,4.03,5.74,15.069,1.466,0.736,0.265,0.694,2.248,0.759,3.051,6.047,Q70,Wessex Area Team,1,200868
02M,Fylde Wyre,339160.9179,437511.8323,5.237,1.308,2.441,9.438,6.53,16.923,2.408,0.897,0.33,0.912,2.835,0.905,3.758,6.74,Q47,Lancashire Area Team,12,150658
11M,Gloucestershire,391844.4213,214338.0982,3.218,0.697,1.863,5.477,6.095,13.789,1.644,0.736,0.286,0.802,2.193,0.842,3.618,6.555,Q64,Bath Gloucestershire Swindon and Wiltshire Area Team,5,620737
06M,Great Yarmouth  Waveney,644996.8133,294180.1773,4.191,0.996,2.126,5.963,6.965,16.802,2.501,0.95,0.223,0.912,2.444,0.934,4.855,6.712,Q56,East Anglia Area Team,2,231971
03A,Greater Huddersfield,413931.2317,412001.9786,3.638,0.702,1.733,3.737,5.626,12.858,1.587,0.895,0.212,0.686,1.799,0.789,3.75,6.319,Q52,West Yorkshire Area Team,9,240687
01E,Greater Preston,357878.2055,438598.7764,3.593,0.91,1.813,4.279,5.966,12.961,1.951,0.916,0.191,0.737,1.769,0.876,3.21,6.539,Q47,Lancashire Area Team,5,208001
08A,Greenwich,542906.2168,176870.3016,2.163,0.494,1.03,3.646,5.768,12.099,1.367,1.124,0.195,0.56,1.33,0.634,2.339,4.832,Q63,South London Area Team,7,261655
09N,Guildford  Waverley,498710.7857,142855.0183,2.651,0.524,1.459,4.078,4.322,12.531,1.166,0.721,0.272,0.576,2.338,0.63,3.391,5.888,Q68,Surrey and Sussex Area Team,2,216453
01F,Halton,352724.8934,383360.3092,4.368,0.844,1.837,4.531,7.198,14.845,2.496,0.798,0.169,0.959,1.896,0.921,2.846,6.893,Q48,Merseyside Area Team,6,128661
03D,Hambleton Richmondshire Whitby,430847.5382,496815.1694,4.219,0.904,2.308,3.505,5.545,15.599,1.853,0.664,0.299,0.879,2.575,0.821,4.232,5.991,Q50,North Yorkshire and Humber Area Team,11,142214
08C,Hammersmith  Fulham,523559.2912,178975.5621,1.708,0.405,0.921,1.941,4.313,9.146,1.079,1.278,0.161,0.45,1.229,0.526,1.866,4.363,Q62,North West London Area Team,0,203826
03Y,Hardwick,445382.8201,366015.5435,4.748,1.009,2.199,5.678,7.783,17.494,2.822,0.87,0.35,0.939,2.092,1.003,3.524,6.449,Q55,Derbyshire and Nottinghamshire Area Team,3,102249
08D,Haringey,531193.8201,189631.5442,1.638,0.457,0.847,1.951,5.772,10.582,0.78,1.255,0.172,0.469,1.237,0.563,1.785,4.543,Q61,North East London Area Team,1,286477
03E,Harrogate  Rural District,426568.649,463541.7949,4.004,0.833,2.087,4.003,5.047,14.759,1.629,0.756,0.33,0.831,2.543,0.767,3.729,6.041,Q50,North Yorkshire and Humber Area Team,12,159719
08E,Harrow,514991.4641,190086.9522,2.906,0.564,1.263,3.107,8.075,13.305,0.848,0.942,0.189,0.652,1.576,0.569,3.223,5.523,Q62,North West London Area Team,2,246437
00K,Hartlepool Stockton-On-Tees,444716.2474,522471.6058,4.24,0.824,1.961,4.409,5.821,14.996,2.481,0.775,0.184,0.793,1.804,0.946,3.735,6.385,Q45,Durham Darlington and Tees Area Team,3,290483
09P,Hastings Rother,578466.0786,119534.006,4.133,0.987,2.442,4.546,6.153,17.207,2.273,1.153,0.202,0.751,2.48,0.91,4.29,5.995,Q68,Surrey and Sussex Area Team,3,183264
08F,Havering,554054.2013,187412.5309,3.09,0.548,1.513,3.78,5.842,13.97,1.709,0.635,0.192,0.762,1.85,0.688,3.561,4.896,Q61,North East London Area Team,3,246798
05F,Herefordshire,349066.317,245269.7931,3.498,0.939,2.206,5.162,6.056,15.88,1.857,0.779,0.31,1.014,2.528,0.86,3.488,6.346,Q53,Arden Herefordshire and Worcestershire Area Team,8,182378
06N,Herts Valleys,508934.9952,205456.3668,2.63,0.549,1.539,3.898,4.812,12.391,1.258,0.749,0.283,0.619,1.846,0.68,3.144,5.616,Q58,Hertfordshire and the South Midlands Area Team,3,610252
01D,Heywood Middleton Rochdale,389666.6289,413349.5695,3.994,0.825,1.867,4.327,6.877,13.842,2.307,1.058,0.251,0.822,1.77,1.041,2.66,6.854,Q46,Greater Manchester Area Team,7,222949
99K,High Weald Lewes Havens,548779.2565,121970.2817,3.247,0.703,2.006,4.932,5.234,14.589,1.538,0.818,0.175,0.795,2.519,0.698,4.392,5.943,Q68,Surrey and Sussex Area Team,8,166507
08G,Hillingdon,507891.2601,183658.6968,2.409,0.483,1.133,3.276,6.433,12.667,1.182,0.729,0.222,0.649,1.449,0.622,2.841,5.206,Q62,North West London Area Team,4,289260
09X,Horsham  Mid Sussex,525537.2244,127589.8409,3.002,0.693,1.769,4.134,4.907,13.78,1.202,0.655,0.253,0.744,2.274,0.697,4.324,6.021,Q68,Surrey and Sussex Area Team,5,227227
07Y,Hounslow,513470.8335,175625.8303,2.269,0.459,0.97,3.001,6.239,11.066,0.954,0.826,0.197,0.627,1.315,0.576,2.727,4.498,Q62,North West London Area Team,11,289930
03F,Hull,509862.2049,431054.4901,3.915,0.629,1.582,4.17,6.112,13.816,2.437,0.83,0.148,0.882,1.75,1.044,3.209,6.302,Q50,North Yorkshire and Humber Area Team,0,289768
06L,Ipswich East Suffolk,618709.078,258684.0364,3.791,0.855,1.959,4.558,5.523,14.132,1.613,0.805,0.277,0.807,2.143,0.815,3.625,6.601,Q56,East Anglia Area Team,1,387590
10L,Isle of Wight,449693.6523,86318.15374,4,0.795,2.318,4.4,6.236,16.843,1.781,1.075,0.282,0.913,2.364,0.852,4.534,6.896,Q70,Wessex Area Team,2,141264
08H,Islington,531124.6022,184969.2427,1.698,0.551,1.011,1.921,4.829,9.154,1.477,1.475,0.236,0.487,1.349,0.62,2.143,5.369,Q61,North East London Area Team,5,229768
11N,Kernow,198668.0949,59852.00343,4.01,0.953,2.338,5.067,5.799,14.935,1.922,0.727,0.293,0.83,2.369,0.846,3.86,6.549,Q66,Devon Cornwall and Isles of Scilly Area Team,6,555805
08J,Kingston,519292.7822,166827.8638,2.28,0.473,1.013,2.716,4.823,10.674,1.089,0.807,0.213,0.509,1.391,0.57,2.507,4.791,Q63,South London Area Team,6,193307
01J,Knowsley,344675.6053,392353.8515,4.526,0.913,1.742,4.141,6.846,14.682,3.471,0.905,0.207,0.872,1.805,1.053,3.093,5.348,Q48,Merseyside Area Team,9,160336
08K,Lambeth,530844.7526,174353.0757,1.337,0.425,0.886,1.946,4.71,9.19,0.933,1.26,0.137,0.437,1.224,0.52,1.7,4.693,Q63,South London Area Team,9,366573
01K,Lancashire North,353587.0865,459423.4018,4.016,0.793,1.91,6.699,5.766,13.15,2.159,0.863,0.235,0.709,2.088,0.885,3.204,6.592,Q47,Lancashire Area Team,10,161056
02V,Leeds North,434779.0021,441759.6679,3.348,0.705,1.688,4.302,5.507,12.518,1.429,1.034,0.277,0.755,2.045,0.718,2.695,5.829,Q52,West Yorkshire Area Team,5,199577
03G,Leeds South & East,436856.7239,430711.673,3.802,0.803,1.848,4.454,6.165,13.106,2.447,0.962,0.229,0.795,1.842,0.925,2.59,6.285,Q52,West Yorkshire Area Team,1,261527
03C,Leeds West,424283.5287,433732.8319,3.065,0.602,1.487,3.515,4.519,10.928,1.588,0.851,0.225,0.614,1.678,0.72,2.307,5.398,Q52,West Yorkshire Area Team,10,360438
04C,Leicester City,459083.5537,304820.9547,2.648,0.679,1.174,3.07,8.348,11.424,1.36,1.024,0.161,0.693,1.102,0.729,2.46,5.247,Q59,Leicestershire and Lincolnshire Area Team,2,375054
08L,Lewisham,537682.0337,173982.1211,1.75,0.481,1.075,2.094,5.675,10.957,1.135,1.269,0.138,0.488,1.289,0.573,1.8,5.581,Q63,South London Area Team,8,303388
03T,Lincolnshire East,530794.1555,372858.9164,5.242,1.037,2.498,7.431,8.007,17.33,2.385,0.758,0.236,0.924,2.514,0.949,4.057,6.601,Q59,Leicestershire and Lincolnshire Area Team,10,242572
04D,Lincolnshire West,495919.4483,376696.1523,4.029,0.783,1.895,6.052,6.144,13.903,1.934,0.879,0.25,0.691,2.241,0.86,3.236,6.337,Q59,Leicestershire and Lincolnshire Area Team,3,227262
99A,Liverpool,339154.0946,390075.3185,3.784,0.778,1.736,4.738,5.81,13.462,2.833,1.25,0.214,0.72,1.866,0.997,2.511,5.632,Q48,Merseyside Area Team,0,494754
06P,Luton,508436.9033,222904.6274,2.537,0.508,1.162,2.484,7.26,11.84,1.173,0.945,0.149,0.625,1.268,0.634,2.205,5.397,Q58,Hertfordshire and the South Midlands Area Team,4,217835
04E,Mansfield  Ashfield,451974.8133,359820.6991,4.255,0.699,1.842,5.146,6.408,15.571,2.316,0.694,0.222,0.79,1.917,0.964,3.393,6.216,Q55,Derbyshire and Nottinghamshire Area Team,4,184883
09W,Medway,577663.4341,171555.2868,2.809,0.656,1.309,3.813,6.713,14.347,1.766,0.632,0.177,0.787,1.782,0.875,3.388,5.553,Q67,Kent and Medway Area Team,4,287357
08R,Merton,525478.3138,169424.2917,2.126,0.46,1.02,2.842,5.426,10.57,1.077,0.802,0.232,0.575,1.464,0.504,2.168,4.781,Q63,South London Area Team,0,206972
06Q,Mid Essex,579987.8615,216978.5638,3.163,0.61,1.57,4.857,5.714,13.604,1.347,0.675,0.197,0.844,1.94,0.787,3.766,6.301,Q57,Essex Area Team,5,378008
04F,Milton Keynes,486829.4721,241263.1779,2.368,0.463,1.047,2.294,5.171,11.84,1.422,0.659,0.139,0.614,1.381,0.635,2.233,5.482,Q58,Hertfordshire and the South Midlands Area Team,5,266276
04G,Nene,473414.4231,264143.1722,3.125,0.722,1.609,4.378,5.924,14.008,1.678,0.806,0.258,0.718,1.987,0.763,3.088,6.591,Q58,Hertfordshire and the South Midlands Area Team,6,633800
04H,Newark  Sherwood,472339.889,359616.9564,4.04,0.798,1.902,5.265,6.004,14.658,2.014,0.611,0.223,0.762,2.299,0.944,3.434,6.186,Q55,Derbyshire and Nottinghamshire Area Team,7,128366
10M,Newbury District,444711.0029,172669.9675,2.477,0.513,1.357,3.812,4.375,12.309,1.162,0.649,0.197,0.672,1.919,0.705,2.825,6.636,Q69,Thames Valley Area Team,3,114916
13T,Newcastle Gateshead,421090.5261,563715.9188,3.778,0.696,1.972,5.932,5.844,13.997,2.329,0.961,0.333,0.851,1.854,0.883,3.322,6.136,Q49,Cumbria Northumberland Tyne and Wear Area Team,0,488419
08M,Newham,541355.6403,183016.689,1.795,0.477,0.736,1.895,7.147,10.016,0.83,1.01,0.085,0.506,0.716,0.457,1.448,4.314,Q61,North East London Area Team,9,355742
10N,North  West Reading,463778.9511,172202.8021,2.492,0.574,1.356,4.37,4.427,13.19,1.161,0.732,0.329,0.578,2.038,0.695,3.288,6.823,Q69,Thames Valley Area Team,4,99996
04J,North Derbyshire,420898.0882,375318.09,4.203,0.961,2.257,6.664,6.5,16.036,2.036,0.884,0.291,0.791,2.304,0.86,3.486,6.479,Q55,Derbyshire and Nottinghamshire Area Team,8,289376
00J,North Durham,419804.0047,546093.4062,4.574,0.827,2.104,4.664,6.472,15.334,2.344,0.815,0.244,0.746,2.014,0.805,3.518,6.531,Q45,Durham Darlington and Tees Area Team,2,249887
06T,North East Essex,605517.9367,223617.646,3.76,0.886,1.869,5.862,6.236,15.81,2.136,0.898,0.245,0.805,2.174,0.887,4.776,6.296,Q57,Essex Area Team,6,323894
99M,North East Hampshire & Farnham,483369.9477,150935.1778,2.619,0.501,1.41,3.824,5.147,12.747,1.207,0.709,0.202,0.568,1.822,0.697,3.159,5.527,Q70,Wessex Area Team,9,219209
03H,North East Lincolnshire,523439.2211,406685.0025,4.082,0.757,2.102,5.444,6.592,15.982,2.181,0.808,0.175,0.851,1.973,1.027,3.483,6.209,Q50,North Yorkshire and Humber Area Team,2,167964
10J,North Hampshire,463616.5221,150556.747,2.617,0.434,1.361,4.439,5.583,12.083,1.219,0.659,0.235,0.634,1.919,0.693,3.777,6.042,Q70,Wessex Area Team,11,215241
03J,North Kirklees,421756.3271,423080.0997,3.959,0.684,1.589,4.93,6.951,14.388,1.911,0.855,0.226,0.865,1.546,0.773,2.628,6.905,Q52,West Yorkshire Area Team,0,186832
03K,North Lincolnshire,493141.7382,411356.8224,4.575,0.756,1.981,4.878,6.927,16.694,1.964,0.725,0.154,0.809,2.043,0.995,3.326,6.119,Q50,North Yorkshire and Humber Area Team,11,169689
01M,North Manchester,386002.6031,400900.0408,3.158,0.628,1.555,2.868,6.151,11.775,2.291,1.163,0.207,0.598,1.297,0.946,2.02,5.407,Q46,Greater Manchester Area Team,4,191574
06V,North Norfolk,617407.5646,327065.4259,4.538,1.044,2.485,5.895,6.367,17.058,2.07,0.843,0.244,1.221,2.922,0.869,4.468,7.61,Q56,East Anglia Area Team,0,168372
11T,North Somerset,344857.7271,165942.8686,3.742,0.821,2.257,4.843,5.542,15.477,1.918,0.792,0.43,0.894,2.495,0.825,3.884,6.645,Q65,Bristol North Somerset Somerset and South Gloucestershire Area Team,7,211670
05G,North Staffordshire,395371.3914,351147.778,4.08,0.778,2.328,4.59,6.898,16.722,2.058,0.758,0.23,0.84,2.189,0.928,3.221,6.363,Q60,Shropshire and Staffordshire Area Team,7,202654
99C,North Tyneside,430835.2428,570544.7967,4.503,0.81,2.382,5.874,6.414,15.381,2.3,0.789,0.337,0.835,2.197,0.957,3.616,6.367,Q49,Cumbria Northumberland Tyne and Wear Area Team,9,215313
09Y,North West Surrey,502607.7937,164258.6387,2.633,0.514,1.51,4.494,5.336,12.7,1.271,0.656,0.234,0.69,1.988,0.613,3.725,5.041,Q68,Surrey and Sussex Area Team,1,351848
99P,North East West Devon,271087.1304,101186.4467,3.786,0.835,2.046,4.985,5.891,14.786,1.879,0.802,0.285,0.804,2.267,0.884,3.717,6.601,Q66,Devon Cornwall and Isles of Scilly Area Team,6,893487
00L,Northumberland,395695.0811,593753.6669,4.907,0.956,2.416,6.411,6.842,17.098,2.447,0.845,0.336,1.114,2.448,0.906,3.847,6.864,Q49,Cumbria Northumberland Tyne and Wear Area Team,4,320531
06W,Norwich,621945.5583,310520.3376,3.001,0.729,1.662,3.628,4.732,11.989,1.654,1.148,0.264,0.875,1.787,0.929,3.421,6.828,Q56,East Anglia Area Team,8,208629
04K,Nottingham City,455423.432,340697.0953,2.7,0.57,1.336,4.191,5.197,10.388,1.519,0.943,0.24,0.548,1.278,0.765,2.233,5.497,Q55,Derbyshire and Nottinghamshire Area Team,9,350947
04L,Nottingham North & East,460479.014,347505.4185,3.842,0.688,1.986,8.675,6.136,14.932,1.923,0.639,0.209,0.673,2.121,0.83,3.45,7.089,Q55,Derbyshire and Nottinghamshire Area Team,10,145878
04M,Nottingham West,449645.1879,342359.3293,3.981,0.836,2.035,6.38,6.029,14.944,1.978,0.731,0.47,0.708,2.209,0.917,3.285,6.42,Q55,Derbyshire and Nottinghamshire Area Team,11,93840
00Y,Oldham,396713.996,406154.0465,3.4,0.713,1.733,3.717,6.723,13.481,2.239,0.881,0.241,0.793,1.733,0.997,2.829,6.325,Q46,Greater Manchester Area Team,1,241360
10Q,Oxfordshire,446610.7448,207966.7572,2.611,0.577,1.627,4.124,4.69,11.993,1.213,0.762,0.323,0.597,2.074,0.684,2.64,5.97,Q69,Thames Valley Area Team,7,687117
10R,Portsmouth,465597.1439,102774.2209,2.984,0.608,1.486,3.474,5.294,11.939,1.795,0.888,0.216,0.529,1.64,0.775,2.464,6.389,Q70,Wessex Area Team,6,217545
08N,Redbridge,543910.5869,189465.8719,2.708,0.493,1.091,3.308,7.547,12.079,0.902,0.864,0.197,0.645,1.266,0.559,2.814,4.967,Q61,North East London Area Team,10,288071
05J,Redditch Bromsgrove,399867.7602,271990.2777,3.543,0.773,1.893,5.06,6.064,14.351,1.736,0.674,0.346,0.877,2.054,0.838,3.776,6.377,Q53,Arden Herefordshire and Worcestershire Area Team,11,172104
08P,Richmond,517338.9735,172799.6442,1.945,0.407,1.114,2.906,3.526,10.341,0.976,0.826,0.245,0.491,1.685,0.598,2.545,4.479,Q63,South London Area Team,5,203521
